index,SMILE,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,CLUSTER,Label
50758,COc1ccccc1NC[C@@H](O)COc1ccc(Cl)cc1Cl,0.83446026,0.021066746,-0.40992114,0.20546468,1.2569017,0.39805555,-1.6339831,-0.27257115,0.41246629,-1.145358,0.69172925,0.39341709,-0.23982893,-0.167133,0.31558603,1.4488881,0.21885753,0.84936923,0.41001391,-0.21993604,40964,1
50768,O=C(SC2=NN=C(C3=CC=CC([N+]([O-])=O)=C3)S2)NC1=CC=CC=C1,-3.775578,-2.2686024,0.67647958,-1.8370991,1.0403435,-6.5266671,2.0820425,-0.41860211,0.90313107,0.70610708,-0.085304126,-0.95162022,-0.094673648,2.3412788,-1.4207281,0.14491375,-0.016738009,3.9383807,-2.6437452,-2.1479511,71,2
50769,O=C(SC2=NN=C(CC3=CC=CC=C3)S2)NC1=CC=CC=C1,-0.50873423,-1.3187109,1.2286384,1.5200965,0.72700137,-2.401422,0.90236312,-0.53890985,0.56386864,-1.1268328,-2.2237351,-1.2903868,0.16087648,-0.41049603,0.007119317,-0.31478268,0.89743608,0.9716379,-1.8312842,-3.0129166,13562,1
50770,O=C(SC2=NN=C(C3=C(N)C=CC=C3)S2)NC1=CC=CC=C1,-0.83959007,-1.1918416,-0.014283817,1.6013547,1.8309121,-2.6878972,0.77596146,-0.27858505,0.64719111,-1.2264799,-1.2313876,-0.56190789,-1.3068893,0.96366924,0.29382446,-1.0602124,0.40945718,0.61021626,-2.8387105,-1.8483208,9418,1
50771,O=C(SC2=NN=C(C3=CC([N+]([O-])=O)=CC=C3)O2)NC1=CC=CC=C1,-1.4038355,-0.61250329,0.16348097,1.8120233,1.565364,-2.7240367,0.47224084,-0.32593793,0.61095148,-0.9319399,-1.8619987,-0.17763156,-0.054838527,1.2942418,-0.32151437,-0.89290804,1.0890632,2.1454468,-3.1906374,-2.8453138,4806,1
50772,O=C(SC2=NN=C(CC3=CC=CC=C3)O2)NC1=CC=CC=C1,-0.57268113,-1.2823312,-0.27815562,1.3046887,1.6397806,-3.1091249,0.63985234,-0.53534025,0.48400888,-0.80171418,-0.81253904,-0.17383395,0.16201979,-0.96222401,-0.12173225,-0.28885058,1.1653033,1.8363245,-2.5166273,-2.467526,12636,1
50773,O=C(SC2=NN=C(C3=C(N)C=CC=C3)O2)NC1=CC=CC=C1,-0.39096954,-1.264611,-0.46821827,1.6853449,1.4782603,-2.7878244,0.4780238,1.7306905,1.151177,-0.81178975,-1.1100175,-0.37258899,0.76524043,-0.59850723,0.064811766,-0.4343932,0.30567124,0.66572148,-2.3262856,-1.5318353,15379,1
50774,O=C(SC2=NN=C(C3=CC=CC([N+]([O-])=O)=C3)N2N)NC1=CC=CC=C1,-0.38147241,-1.3851491,-0.48773703,1.7173343,1.4782227,-2.9201083,0.73438495,-0.55308175,0.41334802,-1.0592897,-0.97281766,0.16287079,0.91673493,-1.3672918,-0.43171662,-0.38694102,0.99913961,1.9331857,-2.4987843,-2.2993219,15525,1
50775,O=C(SC2=NN=C(CC3=CC=CC=C3)N2N)NC1=CC=CC=C1,-1.4047816,-1.1900409,0.071507812,-0.70799583,0.41937476,-4.7436509,2.1518738,-0.45818552,0.79599106,-0.93461269,-1.773195,0.069865711,0.79139447,0.77802819,-0.71895039,0.099657021,0.92384344,0.93573427,-2.5818579,-1.0815016,4801,1
50776,O=C(SC2=NN=C(C3=C(O)C=CC=C3)N2N)NC1=CC=CC=C1,-0.1577798,-0.1196837,0.27626517,0.55872703,1.1977742,-2.4564126,0.79889143,-0.14425835,0.49961886,-1.2006987,-1.0325924,-0.31357303,-0.08273831,0.2360989,-0.14758329,-1.3263336,0.093595594,0.35979098,-2.5559762,-2.1513441,19540,1
