index,SMILE,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,CLUSTER,Label
9,C=CC[C@H]1CN(C)CC[C@@]1(OC(=O)CC)c1ccccc1,0.80656856,-0.037810329,0.82225978,-0.61525851,0.026198111,0.32053402,0.11461087,0.063366756,-1.141537,-0.1971038,-2.4435072,0.93935037,-0.15278378,0.079717487,0.068762258,1.9337717,-1.4029944,-0.35899037,1.0339472,0.35413453,40452,0
25,COc1ccc2c(c1)C[C@@H](C)N(CCc1ccc(N)cc1)CC2,1.5425875,0.29949796,1.2309334,0.49385902,0.10555182,0.39778855,-0.11453901,2.2987268,0.96673596,0.61143076,-0.70630062,1.0041924,0.003862598,-0.78368813,0.34725639,1.0315452,-0.79665887,-0.67520213,-0.54662371,1.7171631,49708,0
57,C=CCC1=C(C)[C@@H](OC(=O)[C@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,0.57439476,-0.85513765,1.7470289,-0.78690839,-2.0689976,0.30726928,-1.2343411,-0.58660036,0.15709776,-0.019936815,1.0728676,0.16141175,-1.1120094,0.54612154,0.72622919,-0.55495167,-0.15666449,-0.38488737,1.3760724,0.5084945,35561,0
61,CN(C)CCO[C@H](c1ccccc1)c1ccc(Br)cc1,1.6327198,-0.82638824,-0.037020087,-0.50080591,1.1291423,0.73829353,-0.69328171,-0.078106917,-0.94123906,-0.61474293,0.033383396,1.5237783,1.02099,-0.17164914,0.096763104,1.3392831,-1.140172,0.25068474,0.53082275,-0.76600581,50161,0
62,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,1.5824536,-0.60454702,0.63032222,-0.32866389,1.6282939,0.8338787,-1.676434,0.080612622,-1.3833706,0.17408438,0.2145282,0.75620914,0.71048474,-0.50257081,1.2089577,1.121563,-1.1996101,1.8941842,0.84521711,-0.50774515,49942,0
68,COc1ccc2c(c1O)-c1c3c(cc4c1[C@H](C2)N(C)CC4)OCO3,0.9364484,1.4490291,1.7111076,-0.50569844,0.081864901,0.94372791,1.5593966,-0.81623,0.7882942,0.79421782,1.1392242,0.46198729,0.54471183,-1.1864018,-0.75412387,1.0654911,0.093532547,0.004089806,-1.9937334,-0.33645684,42880,0
102,C[C@@H]([C@@H](O)c1ccccc1)N(C)C/C=C/c1ccccc1,0.90343994,0.13197623,0.50917453,-1.006111,1.3553199,-0.39843619,-1.3378984,-0.058391154,-1.0560695,0.013217996,-0.92712218,1.4677318,-0.56062955,0.62987787,-0.18932296,1.1961141,-0.7979967,-0.25504205,0.1871936,-0.15213291,42246,0
104,COc1cc(/C=C/C(=O)N2CCCCCCC2)cc(OC)c1OC,1.1080953,-0.11953463,0.6275599,-0.26144716,-0.58053577,1.897127,-0.90752238,-0.6507529,1.2830092,-0.87973315,0.95282674,0.87365377,-0.95884317,-0.62633228,0.10432579,1.1116714,-0.54074383,-1.500526,-0.10457164,1.682456,45612,0
107,CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12,1.5583814,0.76895052,0.42099079,-0.49960724,0.1013268,-0.96926731,1.5598084,-0.056853108,-0.59841013,0.15031296,-0.17636108,0.61227626,0.08305978,-0.92194426,-0.092726894,0.79077524,-1.6022716,0.007121309,-0.035822585,-0.16128014,49808,0
121,O[C@H](c1ccc(Cl)cc1)c1cc2ccccc2o1,0.91480666,-0.19447686,-1.1623207,-0.56424803,0.95333499,0.60003436,-0.015319574,-0.29109737,0.050513685,-0.16529293,-0.27564782,-0.943551,-0.65844804,0.096978523,-0.19938767,0.29540882,-0.89495039,-0.19208762,-0.40651453,0.69671541,42452,0
